workerid,trial,story,condition,rt,world,activity,Qtype,rating,experiment,eligible
2409,3,3_feed_dog,before,42657,ordinary,,interaction,99.15,exclamation,True
2409,4,18_hair,after,37175,wonky,non-habitual,interaction,88.5,exclamation,True
2409,5,5_fueling,after,61575,ordinary,non-habitual,interaction,74.59,exclamation,True
2409,6,7_train,after,41259,ordinary,habitual,interaction,42.19,exclamation,True
2410,1,11_skydiving,after,54165,ordinary,habitual,habitual,96.91,exclamation,True
2410,2,14_clothes,before,65680,ordinary,,habitual,86.56,exclamation,True
2410,3,19_exhibit,after,54798,wonky,habitual,habitual,98.07,exclamation,True
2410,4,17_airplane,before,52811,wonky,,habitual,6.06,exclamation,True
2410,5,16_baking,after,48116,ordinary,non-habitual,habitual,98.15,exclamation,True
2410,6,5_fueling,after,60077,wonky,non-habitual,habitual,98.65,exclamation,True
2410,1,11_skydiving,after,54165,ordinary,habitual,non-habitual,50.7,exclamation,True
2410,2,14_clothes,before,65680,ordinary,,non-habitual,69.17,exclamation,True
2410,3,19_exhibit,after,54798,wonky,habitual,non-habitual,23.29,exclamation,True
2410,4,17_airplane,before,52811,wonky,,non-habitual,88.88,exclamation,True
2410,5,16_baking,after,48116,ordinary,non-habitual,non-habitual,12.69,exclamation,True
2410,6,5_fueling,after,60077,wonky,non-habitual,non-habitual,16.91,exclamation,True
2410,1,11_skydiving,after,54165,ordinary,habitual,script,17.82,exclamation,True
2410,2,14_clothes,before,65680,ordinary,,script,78.28,exclamation,True
2410,3,19_exhibit,after,54798,wonky,habitual,script,88.22,exclamation,True
2410,4,17_airplane,before,52811,wonky,,script,89.04,exclamation,True
2410,5,16_baking,after,48116,ordinary,non-habitual,script,74.22,exclamation,True
2410,6,5_fueling,after,60077,wonky,non-habitual,script,90.62,exclamation,True
2410,1,11_skydiving,after,54165,ordinary,habitual,interaction,15.09,exclamation,True
2410,2,14_clothes,before,65680,ordinary,,interaction,15.75,exclamation,True
2410,3,19_exhibit,after,54798,wonky,habitual,interaction,52.03,exclamation,True
2410,4,17_airplane,before,52811,wonky,,interaction,67.68,exclamation,True
2410,5,16_baking,after,48116,ordinary,non-habitual,interaction,81.01,exclamation,True
2410,6,5_fueling,after,60077,wonky,non-habitual,interaction,50.54,exclamation,True
2411,1,23_library,after,27948,wonky,non-habitual,habitual,20.84,exclamation,True
2411,2,17_airplane,before,26153,wonky,,habitual,21.68,exclamation,True
2411,3,10_shampoo,after,22344,ordinary,habitual,habitual,90.72,exclamation,True
2411,4,7_train,after,20023,wonky,habitual,habitual,79.88,exclamation,True
2411,5,4_subway,after,30474,ordinary,non-habitual,habitual,93.97,exclamation,True
2411,6,20_drive,before,21738,ordinary,,habitual,83.85,exclamation,True
2411,1,23_library,after,27948,wonky,non-habitual,non-habitual,3.73,exclamation,True
2411,2,17_airplane,before,26153,wonky,,non-habitual,49.76,exclamation,True
